"","traveltime.mileEvening","treated","post","dayofweek","month","numvehicles","transRoutes","WalkScore","NumBikeshare","totalschool","origin.tract","Date","dayofweek.1"
"216",1.60186162413294,FALSE,FALSE,"Thursday",6,3110,1,47,0,845,31211,"2019-06-27","Thursday"
"217",9.98768648736445,TRUE,FALSE,"Friday",6,2240,40,90,5,448,1100,"2019-06-28","Friday"
"218",8.00697945305584,TRUE,FALSE,"Friday",6,555,39,74,7,347,400,"2019-06-28","Friday"
"219",4.85402898453357,TRUE,FALSE,"Friday",6,2120,37,62,4,1474,500,"2019-06-28","Friday"
"220",6.27007207786044,TRUE,FALSE,"Friday",6,2050,11,89,2,835,1300,"2019-06-28","Friday"
"221",6.43491466702961,TRUE,FALSE,"Friday",6,2050,11,89,2,835,1300,"2019-06-28","Friday"
"222",1.00706347407823,FALSE,FALSE,"Friday",6,3550,3,1,3,1501,30320,"2019-06-28","Friday"
"223",6.12881726220381,TRUE,FALSE,"Friday",6,2240,40,90,5,448,1100,"2019-06-28","Friday"
"224",5.55222980253626,TRUE,FALSE,"Friday",6,555,39,74,7,347,400,"2019-06-28","Friday"
"225",5.71229570069481,TRUE,FALSE,"Friday",6,2120,37,62,4,1474,500,"2019-06-28","Friday"
"226",2.75592626434446,TRUE,FALSE,"Friday",6,2120,37,62,4,1474,500,"2019-06-28","Friday"
"227",1.36875264851062,FALSE,FALSE,"Friday",6,3550,3,1,3,1501,30320,"2019-06-28","Friday"
"228",6.6080965515977,TRUE,FALSE,"Friday",6,2050,11,89,2,835,1300,"2019-06-28","Friday"
"229",4.58812282253228,TRUE,FALSE,"Friday",6,555,39,74,7,347,400,"2019-06-28","Friday"
"230",6.60054649525137,TRUE,FALSE,"Friday",6,2050,11,89,2,835,1300,"2019-06-28","Friday"
"231",1.20166615120938,FALSE,FALSE,"Friday",6,3550,3,1,3,1501,30320,"2019-06-28","Friday"
"232",1.32750506445614,FALSE,FALSE,"Friday",6,3550,3,1,3,1501,30320,"2019-06-28","Friday"
"233",4.44854960809396,TRUE,FALSE,"Friday",6,2050,11,89,2,835,1300,"2019-06-28","Friday"
"234",6.00786474241111,TRUE,FALSE,"Friday",6,555,39,74,7,347,400,"2019-06-28","Friday"
"235",6.23168598853201,TRUE,FALSE,"Friday",6,2120,37,62,4,1474,500,"2019-06-28","Friday"
"236",6.75736495347436,TRUE,FALSE,"Friday",6,2240,40,90,5,448,1100,"2019-06-28","Friday"
