,minutes_per_mile,treated,post,scooter,origin_tract,destination,day_of_week,month,numvehicles,totalschool,tract,date,transit.routes,walk.score,bike.hubs,precip,week_num
198,1.4148409236681654,0,0,1,30320,30345,Sunday,7,3550,1501,cumberland,2018-07-15,3,1,3,1,28
199,1.3537058220281828,0,0,1,30320,30345,Monday,7,3550,1501,cumberland,2018-07-16,3,1,3,1,29
200,1.2925707203882004,0,0,1,30320,30345,Tuesday,7,3550,1501,cumberland,2018-07-17,3,1,3,0,29
201,1.3537058220281828,0,0,1,30320,30345,Wednesday,7,3550,1501,cumberland,2018-07-18,3,1,3,0,29
202,1.449775267462441,0,0,1,30320,30345,Thursday,7,3550,1501,cumberland,2018-07-19,3,1,3,1,29
203,1.9475896665308692,0,0,1,30320,30345,Friday,7,3550,1501,cumberland,2018-07-20,3,1,3,0,29
204,1.3013043063367693,0,0,1,30320,30345,Sunday,7,3550,1501,cumberland,2018-07-22,3,1,3,1,29
205,1.6157134004852505,0,0,1,30320,30345,Monday,7,3550,1501,cumberland,2018-07-23,3,1,3,1,30
206,1.2663699625424936,0,0,1,30320,30345,Tuesday,7,3550,1501,cumberland,2018-07-24,3,1,3,1,30
207,1.117899001416822,0,0,1,30320,30345,Wednesday,7,3550,1501,cumberland,2018-07-25,3,1,3,0,30
208,2.794747503542055,0,0,1,30320,30345,Thursday,7,3550,1501,cumberland,2018-07-26,3,1,3,0,30
209,1.0742310716739771,0,0,1,30320,30345,Sunday,7,3550,1501,cumberland,2018-07-29,3,1,3,0,30
210,1.3973737517710274,0,0,1,30320,30345,Monday,7,3550,1501,cumberland,2018-07-30,3,1,3,0,31
211,1.4585088534110098,0,0,1,30320,30345,Tuesday,7,3550,1501,cumberland,2018-07-31,3,1,3,1,31
212,1.6681149161766635,0,0,1,30320,30345,Wednesday,8,3550,1501,cumberland,2018-08-01,3,1,3,1,31
213,1.4934431972052855,0,0,1,30320,30345,Thursday,8,3550,1501,cumberland,2018-08-02,3,1,3,1,31
214,1.641914158330957,0,0,1,30320,30345,Saturday,8,3550,1501,cumberland,2018-08-04,3,1,3,0,31
215,1.441041681513872,0,0,1,30320,30345,Sunday,8,3550,1501,cumberland,2018-08-05,3,1,3,0,31
216,1.5895126426395436,0,0,1,30320,30345,Monday,8,3550,1501,cumberland,2018-08-06,3,1,3,0,32
217,1.441041681513872,0,0,1,30320,30345,Tuesday,8,3550,1501,cumberland,2018-08-07,3,1,3,0,32
218,1.7205164318680777,0,0,1,30320,30345,Wednesday,8,3550,1501,cumberland,2018-08-08,3,1,3,1,32
219,1.6331805723823882,0,1,1,30320,30345,Thursday,8,3550,1501,cumberland,2018-08-09,3,1,3,1,32
220,2.2532651747307817,0,1,1,30320,30345,Friday,8,3550,1501,cumberland,2018-08-10,3,1,3,0,32
221,2.454137651547867,0,1,1,30320,30345,Saturday,8,3550,1501,cumberland,2018-08-11,3,1,3,0,32
222,2.3144002763707645,0,1,1,30320,30345,Sunday,8,3550,1501,cumberland,2018-08-12,3,1,3,0,32
223,1.6681149161766635,0,1,1,30320,30345,Monday,8,3550,1501,cumberland,2018-08-13,3,1,3,0,33
224,1.641914158330957,0,1,1,30320,30345,Tuesday,8,3550,1501,cumberland,2018-08-14,3,1,3,0,33
225,1.6593813302280949,0,1,1,30320,30345,Wednesday,8,3550,1501,cumberland,2018-08-15,3,1,3,0,33
226,2.034925526016558,0,1,1,30320,30345,Thursday,8,3550,1501,cumberland,2018-08-16,3,1,3,0,33
227,1.3799065798738896,0,1,1,30320,30345,Sunday,8,3550,1501,cumberland,2018-08-19,3,1,3,1,33
228,1.4847096112567166,0,1,1,30320,30345,Monday,8,3550,1501,cumberland,2018-08-20,3,1,3,1,34
229,1.9213889086851623,0,1,1,30320,30345,Tuesday,8,3550,1501,cumberland,2018-08-21,3,1,3,1,34
230,1.519643955050992,0,1,1,30320,30345,Wednesday,8,3550,1501,cumberland,2018-08-22,3,1,3,0,34
231,1.3886401658224583,0,1,1,30320,30345,Thursday,8,3550,1501,cumberland,2018-08-23,3,1,3,0,34
232,2.061126283862265,0,1,1,30320,30345,Friday,8,3550,1501,cumberland,2018-08-24,3,1,3,0,34
233,1.641914158330957,0,1,1,30320,30345,Saturday,8,3550,1501,cumberland,2018-08-25,3,1,3,0,34
234,1.4323080955653031,0,1,1,30320,30345,Sunday,8,3550,1501,cumberland,2018-08-26,3,1,3,0,34
235,1.257636376593925,0,1,1,30320,30345,Monday,8,3550,1501,cumberland,2018-08-27,3,1,3,0,35
