Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept,Precip,dayofweek,festival
6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9,11,0,0,Tuesday,23113,23115,231.13,231.15,0,-84.2414147,33.7738177,0.570549243,985,645,356,176,0,2.074024894,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30,free,1,78,9,13,5,0,Tuesday,30,16,30,16,1,-84.3557938,33.7676383,0.694291561,480,625,329,244,0,2.712597185,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204,free,1,70,9.1,10,2,0,Tuesday,204,203,204,203,1,-84.3300628,33.76617,0.682333634,2305,677,468,128,0,3.834878623,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,93,94.02,93,1,-84.3808773,33.8212723,0.646152672,2925,1119,195,924,0,4.513897094,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204,free,1,70,9.1,10,2,0,Tuesday,204,206,204,206,1,-84.3356822,33.7576172,0.447893764,2305,677,468,128,0,6.065426413,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21102,214.05,211.02,0,-84.3404499,33.8707508,0.773440507,2665,903,535,240,0,3.641736684,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,28,26,28,1,-84.379399,33.758087,1.063123455,615,556,333,164,0,9.67275558,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,King Memorial,33.7502611,-84.3758206,119,none,0,91,9.7,54,11,0,Tuesday,119,48,119,48,1,-84.3839375,33.7443312,0.621440121,1040,1134,107,1026,0,5.310246136,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,1002,12.02,10.02,1,-84.3995394,33.7763249,0.809622841,2395,748,69,664,0,5.887515056,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,H.E. Holmes,33.754489,-84.4692986,81.02,free,1,43,9.1,14,0,0,Tuesday,8102,8301,81.02,83.01,1,-84.4588616,33.7642262,0.902154503,1640,1736,1564,172,0,1.884377892,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,H.E. Holmes,33.754489,-84.4692986,81.02,free,1,43,9.1,14,0,0,Tuesday,8102,8302,81.02,83.02,1,-84.452286,33.7573898,0.998746768,1640,1736,1564,172,0,4.40552114,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,King Memorial,33.7502611,-84.3758206,119,none,0,91,9.7,54,11,0,Tuesday,119,49,119,49,1,-84.3794479,33.7409122,0.679491043,1040,1134,107,1026,0,4.954688809,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Ashby,33.756417,-84.4174518,25,free,1,66,9.3,9,1,0,Tuesday,25,43,25,43,1,-84.4091076,33.745362,0.902796026,605,609,296,289,0,6.775247666,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,38,26,38,1,-84.412023,33.7508286,0.903226219,615,556,333,164,0,3.413688915,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,11,12.02,11,1,-84.3830169,33.7841633,0.882938589,2395,748,69,664,0,2.623814041,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,West Lake,33.75287,-84.4445275,40,free,1,33,9.1,7,0,0,Tuesday,40,84,40,84,1,-84.4355748,33.7618564,0.807129001,680,496,362,115,0,3.572332711,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Bankhead,33.7722776,-84.4294781,85,limited,1,24,8.1,5,0,0,Tuesday,85,7,85,7,1,-84.4233152,33.7799333,0.637166314,505,420,306,90,0,6.565528087,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,44,26,44,1,-84.4017693,33.7407725,1.098061349,615,556,333,164,0,5.251679857,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Garnett   ,33.747845,-84.396415,35,none,0,79,9.8,56,4,0,Tuesday,35,120,35,120,1,-84.392823,33.7361403,0.835568581,460,374,9,365,0,1.675505796,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,19,12.02,19,1,-84.3872629,33.7661963,0.385948579,2395,748,69,664,0,10.57999319,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Ashby,33.756417,-84.4174518,25,free,1,66,9.3,9,1,0,Tuesday,25,39,25,39,1,-84.4220948,33.7500627,0.514285765,605,609,296,289,0,6.902777091,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
